sigma,eta
0.21666667,0.10833333
0.60833333,0.65
0.033333333,0.3
0.93333333,0.041666667
0.3,0.25833333
0.98333333,0.40833333
0.175,0.975
0.26666667,0.44166667
0.425,0.41666667
0.525,0.78333333
0.73333333,0.45833333
0.13333333,0.65833333
0.54166667,0.1
0.54166667,0.15
0.3,0.21666667
0.19166667,0.033333333
0.575,0.64166667
0.925,0.85833333
0.60833333,0.033333333
0.725,0.24166667
0.85,0.058333333
0.066666667,0.76666667
0.69166667,0.34166667
0.825,0.74166667
0.575,0.68333333
0.31666667,0.85
0.65833333,0.59166667
0.51666667,0.125
0.80833333,0.033333333
0.11666667,0.425
0.85833333,0.75
0.5,0.95833333
0.81666667,0.25833333
0.075,0.40833333
0.14166667,0.63333333
0.86666667,0.95
0.05,0.825
0.875,0.36666667
0.55833333,0.59166667
0.75833333,0.21666667
0.90833333,0.33333333
0.38333333,0.36666667
0.275,0.475
1,0.091666667
0.90833333,0.96666667
0.59166667,0.55
0.53333333,0.81666667
0.43333333,0.9
0.091666667,0.70833333
0.10833333,0.78333333
0.275,0.91666667
0.55,0.95
0.83333333,0.125
0.325,0.46666667
0.7,0.14166667
0.26666667,0.14166667
0.85,0.325
0.60833333,0.90833333
0.725,0.2
0.55833333,0.925
0.65,0.725
0.31666667,0.36666667
0.325,0.35
0.425,0.48333333
0.675,0.11666667
0.9,0.13333333
0.21666667,0.275
0.475,0.066666667
0.64166667,0.425
0.4,0.70833333
0.88333333,0.175
0.18333333,0.85833333
0.225,0.39166667
0.375,0.46666667
0.925,0.25833333
0.60833333,0.975
0.725,0.75
0.425,0.15833333
0.94166667,0.91666667
0.33333333,0.88333333
0.45,0.70833333
0.75833333,0.89166667
0.29166667,0.55
0.94166667,0.34166667
0.51666667,0.85833333
0.95833333,1
0.025,0.45
0.725,0.85833333
0.34166667,0.20833333
0.58333333,0.15
0.86666667,0.325
0.38333333,0.56666667
0.6,0.18333333
0.45,0.975
0.525,0.63333333
0.35833333,0.53333333
0.41666667,0.45833333
0.81666667,0.10833333
0.025,0.033333333
0.30833333,0.016666667
0.625,0.7
0.8,0.39166667
0.83333333,0.61666667
0.15833333,0.975
0.575,0.83333333
0.74166667,0.78333333
0.38333333,0.40833333
0.78333333,0.64166667
0.19166667,0.31666667
0.54166667,0.40833333
0.93333333,0.53333333
0.6,0.2
0.075,0.725
0.93333333,0.35
0.775,0.45833333
0.55833333,0.18333333
0.61666667,0.25
0.15,0.725
0.13333333,0.30833333
0.175,0.35833333
0.88333333,0.98333333
0.925,0.38333333
0.025,0.34166667
0.94166667,0.083333333
0.40833333,0.275
0.43333333,0.48333333
0.95,0.725
0.55833333,0.53333333
0.95833333,0.825
0.94166667,0.94166667
0.58333333,0.33333333
0.05,0.76666667
0.20833333,0.025
0.55,0.15
0.38333333,0.091666667
0.46666667,0.033333333
0.65833333,0.89166667
0.725,0.39166667
0.18333333,0.65
0.48333333,0.48333333
0.35833333,0.675
0.28333333,0.59166667
0.99166667,0.48333333
0.0083333333,0.26666667
0.46666667,0.21666667
0.083333333,0.81666667
0.725,0.58333333
0.96666667,0.44166667
0.05,0.35833333
0.61666667,0.083333333
0.15833333,0.99166667
0.70833333,0.15
0.96666667,0.98333333
0.40833333,0.84166667
0.28333333,0.13333333
0.94166667,0.26666667
0.81666667,0.51666667
0.69166667,0.44166667
0.033333333,0.0083333333
0.33333333,0.15833333
0.21666667,0.8
0.46666667,0.65833333
0.125,0.35833333
0.96666667,0.69166667
0.875,0.016666667
0.875,0.75
0.325,0.875
0.10833333,1
0.5,0.2
0.68333333,0.40833333
0.425,0.89166667
0.66666667,0.66666667
0.31666667,0.46666667
0.53333333,0.95
0.84166667,0.033333333
0.83333333,0.083333333
0.033333333,0.4
0.24166667,0.91666667
0.675,0.34166667
0.675,0.55833333
0.30833333,0.825
0.31666667,0.31666667
0.45,0.84166667
0.40833333,0.30833333
0.875,0.45
0.84166667,0.35
0.61666667,0.775
0.8,0.60833333
0.0083333333,0.33333333
0.58333333,0.51666667
0.28333333,0.71666667
0.225,0.63333333
0.675,0.28333333
0.55833333,0.69166667
0.16666667,0.925
0.96666667,0.54166667
0.18333333,0.925
0.14166667,0.041666667
0.80833333,0.83333333
0.69166667,0.55
0.25833333,0.375
0.325,0.40833333
0.975,0.15833333
0.99166667,0.74166667
0.94166667,0.66666667
0.725,0.34166667
0.15,0.98333333
0.54166667,0.83333333
0.18333333,0.475
0.0083333333,0.18333333
0.033333333,0.83333333
0.90833333,0.81666667
0.15,0.64166667
0.73333333,0.25
0.49166667,0.65833333
0.48333333,0.64166667
0.9,0.14166667
0.49166667,0.4
0.14166667,0.066666667
0.15833333,0.85833333
0.425,0.28333333
0.066666667,1
0.43333333,0.75833333
0.975,0.38333333
0.25833333,0.058333333
0.45,0.24166667
0.2,0.575
0.98333333,0.1
0.325,0.2
0.875,0.825
0.4,0.19166667
0.066666667,0.16666667
0.33333333,0.175
0.75,0.89166667
0.55833333,0.79166667
0.025,0.175
0.6,0.55
0.825,0.6
0.83333333,0.33333333
0.21666667,0.40833333
0.65,0.16666667
0.525,0.20833333
0.78333333,0.38333333
0.99166667,0.58333333
0.61666667,0.375
0.43333333,0.39166667
0.75833333,0.875
0.875,0.10833333
0.4,0.16666667
0.98333333,0.81666667
0.225,0.11666667
0.125,0.65833333
0.28333333,0.25
0.99166667,0.76666667
0.94166667,0.70833333
0.36666667,0.64166667
0.90833333,0.61666667
0.28333333,0.30833333
0.55,0.3
0.25833333,0.38333333
0.425,0.33333333
0.69166667,0.35
0.44166667,0.058333333
0.63333333,0.40833333
0.48333333,0.86666667
0.78333333,0.83333333
0.6,0.25833333
0.4,0.91666667
0.25833333,0.23333333
0.50833333,0.98333333
0.40833333,0.675
0.35,0.34166667
0.91666667,0.3
0.50833333,0.175
0.95,0.675
0.64166667,0.35
0.725,0.56666667
0.56666667,0.25833333
0.5,0.575
0.94166667,0.5
0.66666667,0.19166667
0.75,0.16666667
0.54166667,0.59166667
0.725,0.275
0.075,0.86666667
0.475,0.025
0.2,0.15833333
0.41666667,0.56666667
0.525,0.55
0.16666667,0.775
0.091666667,0.058333333
0.025,0.525
0.05,0.44166667
0.083333333,0.225
0.75833333,0.71666667
0.875,0.325
0.69166667,0.26666667
0.45833333,0.84166667
0.016666667,0.45833333
0.46666667,0.59166667
0.65,0.75
0.50833333,0.80833333
0.41666667,0.1
0.575,0.1
0.84166667,0.55833333
0.70833333,0.51666667
0.8,0.625
0.13333333,0.76666667
0.475,0.70833333
0.775,0.89166667
0.46666667,0.23333333
0.55,0.74166667
0.43333333,0.083333333
0.175,0.19166667
0.083333333,0.4
0.041666667,0.54166667
0.75833333,0.75
0.775,0.625
0.825,0.86666667
0.64166667,0.041666667
0.91666667,0.46666667
0.46666667,0.83333333
0.56666667,0.95833333
0.89166667,0.88333333
0.075,0.55
0.96666667,0.85
0.69166667,0.25
0.98333333,0.49166667
0.36666667,0.95833333
0.98333333,0.3
0.34166667,0.60833333
0.66666667,0.28333333
0.5,0.30833333
0.29166667,0.16666667
0.31666667,0.4
0.68333333,0.8
0.96666667,0.26666667
0.73333333,0.40833333
0.975,0.86666667
0.80833333,0.225
0.0083333333,0.28333333
0.091666667,0.35
0.058333333,0.31666667
0.83333333,0.60833333
0.875,0.26666667
0.3,0.23333333
0.5,0.74166667
0.95,0.61666667
0.14166667,0.80833333
0.55833333,0.55
0.5,0.14166667
0.091666667,0.275
0.425,0.10833333
0.083333333,0.89166667
0.825,0.83333333
1,0.70833333
0.55,0.066666667
0.16666667,0.05
0.21666667,0.39166667
0.99166667,0.066666667
0.90833333,0.53333333
0.74166667,0.71666667
0.86666667,0.38333333
0.375,0.18333333
0.3,0.99166667
0.34166667,0.625
1,0.41666667
0.50833333,0.64166667
0.058333333,0.44166667
0.4,0.49166667
0.93333333,0.74166667
0.25,0.31666667
0.78333333,0.21666667
0.11666667,0.075
0.81666667,0.9
0.31666667,0.90833333
0.475,0.75
0.69166667,0.425
0.25833333,0.43333333
0.875,0.19166667
0.98333333,0.59166667
0.53333333,0.15
0.48333333,0.88333333
0.75833333,0.58333333
0.63333333,0.53333333
0.13333333,0.39166667
0.75833333,0.53333333
0.275,0.58333333
0.45833333,0.325
0.05,0.38333333
0.18333333,0.74166667
0.13333333,0.4
0.016666667,0.26666667
0.65833333,0.925
0.64166667,0.43333333
0.18333333,0.675
0.20833333,0.63333333
0.58333333,0.375
0.83333333,0.93333333
0.7,0.425
0.55,0.45
0.1,0.95833333
0.53333333,0.45
1,0.98333333
0.29166667,0.15
0.83333333,0.10833333
0.15,0.90833333
0.9,0.975
0.44166667,0.13333333
0.75833333,0.76666667
0.36666667,0.85
0.90833333,0.24166667
0.96666667,0.34166667
0.14166667,0.74166667
0.058333333,0.63333333
0.98333333,0.083333333
0.35833333,0.51666667
0.14166667,0.39166667
0.125,0.85833333
0.44166667,0.63333333
0.83333333,0.53333333
1,0.63333333
0.28333333,0.96666667
0.33333333,0.825
0.43333333,0.33333333
0.7,0.10833333
0.29166667,0.5
0.85833333,0.475
0.05,0.65
0.85833333,0.24166667
0.66666667,0.79166667
0.15833333,0.066666667
0.29166667,0.325
0.24166667,0.75833333
0.2,0.875
0.24166667,0.96666667
0.325,0.525
0.58333333,0.15833333
0.20833333,0.80833333
0.025,0.85833333
0.88333333,0.70833333
0.28333333,0.1
0.6,0.33333333
0.46666667,0.88333333
0.23333333,0.15833333
0.20833333,0.53333333
0.5,0.13333333
0.85,0.65833333
0.73333333,0.058333333
0.058333333,0.2
0.21666667,0.31666667
0.21666667,0.11666667
0.68333333,0.14166667
0.88333333,0.475
0.125,0.36666667
0.55,0.35
0.0083333333,0.76666667
0.16666667,0.058333333
0.925,0.041666667
0.68333333,0.75
0.225,0.35833333
0.95833333,0.0083333333
0.68333333,0.64166667
0.05,0.875
0.225,0.26666667
0.65833333,0.75833333
0.64166667,0.39166667
0.75,0.39166667
0.39166667,0.0083333333
0.30833333,0.2
0.083333333,0.5
0.95,0.975
0.091666667,0.33333333
0.95,0.60833333
0.375,0.26666667
0.041666667,1
0.29166667,0.96666667
0.95,0.25833333
0.83333333,0.11666667
0.56666667,0.93333333
0.21666667,0.91666667
0.5,0.36666667
0.475,0.54166667
0.96666667,0.375
0.675,0.5
0.95833333,0.725
0.30833333,0.81666667
0.93333333,0.0083333333
0.38333333,0.95
0.93333333,0.79166667
0.58333333,0.325
0.7,0.59166667
0.25,0.63333333
0.5,0.15
0.58333333,0.74166667
0.98333333,0.95833333
0.83333333,0.25
0.15833333,0.34166667
0.10833333,0.066666667
0.6,0.90833333
0.44166667,0.14166667
0.79166667,0.50833333
0.40833333,0.35833333
0.39166667,0.74166667
0.85,0.80833333
0.10833333,0.075
0.89166667,0.016666667
0.96666667,0.575
0.79166667,0.56666667
1,0.7
0.925,0.14166667
0.63333333,0.64166667
0.55,0.61666667
0.058333333,0.025
0.54166667,0.16666667
0.175,0.7
0.38333333,0.375
0.11666667,0.45833333
0.6,0.14166667
0.90833333,0.65
1,0.058333333
0.96666667,0.033333333
0.86666667,0.375
0.15833333,0.425
0.425,0.55833333
0.7,0.3
0.79166667,0.30833333
0.11666667,0.54166667
0.4,0.29166667
0.825,0.55833333
0.275,0.1
0.43333333,0.075
0.95,0.275
0.6,0.85
0.675,0.4
0.425,0.44166667
0.19166667,0.8
0.35833333,0.14166667
0.55,0.73333333
0.76666667,0.55
0.49166667,0.83333333
0.625,0.95
0.80833333,0.80833333
0.85,0.30833333
0.81666667,0.475
0.56666667,0.40833333
0.15,0.75
0.38333333,0.80833333
0.15833333,0.125
0.41666667,0.94166667
0.066666667,0.20833333
0.45,0.99166667
0.90833333,0.55
0.025,0.50833333
0.46666667,0.86666667
0.19166667,0.23333333
0.19166667,0.525
0.016666667,0.41666667
0.59166667,0.016666667
1,0.016666667
0.86666667,0.26666667
0.075,0.325
0.575,0.91666667
0.475,0.8
0.24166667,0.85
0.85,0.31666667
0.75,0.46666667
0.94166667,0.20833333
0.9,0.44166667
0.29166667,0.7
0.1,0.4
0.025,0.70833333
0.58333333,0.825
0.11666667,0.98333333
0.43333333,0.85833333
0.31666667,0.75833333
0.39166667,0.26666667
0.23333333,0.96666667
0.125,0.2
0.94166667,0.53333333
0.30833333,0.51666667
0.39166667,0.80833333
0.11666667,0.74166667
0.39166667,0.7
0.975,0.025
0.96666667,0.94166667
0.058333333,0.53333333
0.88333333,0.38333333
0.425,0.85
0.91666667,0.091666667
0.925,0.29166667
0.875,0.14166667
0.31666667,0.85833333
0.058333333,0.3
0.76666667,0.7
0.74166667,0.4
0.76666667,0.14166667
0.34166667,0.975
0.425,0.36666667
0.65,0.91666667
0.66666667,0.95
0.75833333,0.68333333
0.90833333,0.95833333
0.825,0.475
0.74166667,0.95
1,0.13333333
0.50833333,0.041666667
0.80833333,0.65833333
0.76666667,0.43333333
0.61666667,0.975
0.66666667,0.55833333
0.48333333,0.091666667
0.05,0.68333333
0.59166667,0.16666667
0.89166667,0.20833333
0.29166667,0.29166667
0.041666667,0.33333333
0.425,0.29166667
0.26666667,0.33333333
0.44166667,0.59166667
0.60833333,0.31666667
0.75,0.33333333
0.66666667,0.56666667
0.60833333,0.18333333
0.44166667,0.95
0.63333333,0.73333333
0.85,0.73333333
0.675,0.64166667
0.3,0.91666667
0.775,0.85
0.075,0.19166667
0.59166667,0.4
0.1,0.575
0.20833333,0.975
0.84166667,0.94166667
0.50833333,0.85833333
0.23333333,0.10833333
0.3,0.26666667
0.375,0.675
0.61666667,0.13333333
0.19166667,0.98333333
0.68333333,0.56666667
0.35,0.21666667
0.73333333,0.275
0.88333333,0.73333333
0.51666667,0.18333333
0.575,0.875
0.9,0.15833333
0.94166667,1
0.73333333,0.66666667
0.15,0.81666667
0.58333333,0.35833333
0.64166667,0.375
0.29166667,0.66666667
0.325,0.083333333
0.65,0.26666667
0.24166667,0.425
0.66666667,0.7
0.425,0.16666667
0.86666667,0.15
0.6,0.49166667
0.075,0.76666667
0.90833333,0.375
0.825,0.0083333333
0.95833333,0.59166667
0.93333333,0.89166667
0.98333333,0.20833333
0.13333333,0.91666667
0.375,0.38333333
0.36666667,0.33333333
0.18333333,0.25
0.39166667,0.43333333
0.93333333,0.29166667
0.58333333,0.275
0.3,0.75
0.9,0.23333333
0.70833333,0.36666667
0.96666667,0.61666667
0.53333333,0.60833333
0.21666667,0.16666667
0.64166667,0.4
0.28333333,0.29166667
0.66666667,0.96666667
0.033333333,0.66666667
0.23333333,0.48333333
0.2,0.275
0.975,0.30833333
0.15833333,0.3
0.625,0.29166667
0.375,0.25833333
0.2,0.075
0.10833333,0.75833333
0.2,0.058333333
0.85,0.525
0.41666667,0.25
0.40833333,0.175
0.36666667,0.091666667
0.75,0.94166667
0.16666667,0.44166667
0.175,0.775
0.033333333,0.40833333
0.95833333,0.28333333
0.41666667,0.525
0.3,0.75833333
0.39166667,0.65
0.9,0.85833333
0.775,0.13333333
0.16666667,0.125
0.19166667,0.86666667
0.94166667,0.125
0.6,0.875
0.58333333,0.88333333
0.98333333,0.7
0.23333333,0.23333333
0.50833333,0.76666667
0.81666667,0.76666667
0.16666667,0.11666667
0.2,0.61666667
0.98333333,0.29166667
0.34166667,0.91666667
0.475,0.64166667
0.175,0.59166667
0.875,0.64166667
0.49166667,0.93333333
0.575,0.90833333
0.95,0.5
0.84166667,0.016666667
0.9,0.89166667
0.75,0.51666667
0.091666667,0.4
0.35,0.31666667
0.31666667,0.6
0.26666667,0.55833333
0.825,0.59166667
0.94166667,0.225
0.31666667,0.83333333
0.76666667,0.083333333
0.1,0.55833333
0.45833333,0.30833333
0.13333333,0.24166667
0.275,0.59166667
0.85833333,0.425
0.025,0.53333333
0.058333333,0.18333333
0.5,0.15833333
0.94166667,0.96666667
0.8,0.20833333
0.59166667,0.066666667
0.58333333,0.39166667
0.81666667,0.975
0.091666667,0.83333333
0.575,0.725
0.95,0.84166667
0.78333333,0.24166667
0.69166667,0.84166667
0.23333333,0.65833333
0.875,0.54166667
0.7,0.95833333
0.058333333,0.64166667
0.70833333,0.65
0.9,0.95833333
0.25,0.90833333
0.66666667,0.83333333
0.375,0.96666667
0.76666667,0.75833333
0.125,0.60833333
0.15833333,0.775
0.33333333,0.975
0.65,0.55833333
0.88333333,0.14166667
0.975,0.058333333
0.15833333,0.49166667
0.625,0.95833333
0.35833333,0.825
0.95833333,0.53333333
0.6,0.93333333
0.21666667,0.075
0.49166667,0.5
0.066666667,0.54166667
0.3,0.85
0.10833333,0.60833333
0.63333333,0.975
0.45833333,0.058333333
0.39166667,0.13333333
0.4,0.98333333
0.35833333,0.65833333
0.38333333,0.26666667
0.425,0.55
0.6,0.36666667
0.43333333,0.45
0.54166667,0.725
0.61666667,0.65
0.6,0.46666667
0.44166667,0.70833333
0.95,0.76666667
0.5,0.59166667
0.975,0.825
0.0083333333,0.75833333
0.016666667,0.21666667
0.125,0.46666667
0.94166667,0.33333333
0.975,0.74166667
0.54166667,0.19166667
0.41666667,0.48333333
0.39166667,0.96666667
0.89166667,0.41666667
0.74166667,0.45
0.35,0.95833333
0.28333333,0.8
0.875,0.95833333
0.23333333,0.74166667
0.325,0.25833333
0.975,0.51666667
0.35,0.725
0.60833333,0.49166667
0.84166667,0.63333333
0.2,0.175
0.78333333,0.675
1,0.30833333
0.55833333,0.70833333
0.34166667,0.94166667
0.7,0.58333333
0.45,0.81666667
0.525,0.25
0.35,0.76666667
0.19166667,0.7
1,0.875
0.775,0.39166667
0.275,0.31666667
0.066666667,0.45
0.30833333,0.84166667
0.20833333,0.88333333
0.41666667,0.275
0.59166667,0.53333333
0.68333333,0.7
0.1,1
0.7,0.19166667
0.98333333,0.475
0.625,0.066666667
0.0083333333,0.99166667
0.21666667,0.375
0.48333333,0.70833333
0.90833333,0.74166667
0.66666667,0.88333333
0.3,0.625
0.93333333,0.425
0.7,0.11666667
0.61666667,0.075
0.58333333,0.73333333
0.91666667,0.825
0.525,0.75833333
0.86666667,0.59166667
0.31666667,0.016666667
0.55,0.14166667
0.85833333,0.68333333
0.73333333,0.6
0.59166667,0.10833333
0.71666667,0.65833333
0.70833333,0.86666667
0.84166667,0.81666667
0.44166667,0.95833333
0.41666667,0.75
0.95,0.575
0.575,0.71666667
0.93333333,0.65833333
0.95833333,0.78333333
0.48333333,0.75833333
0.79166667,0.0083333333
0.575,0.70833333
0.5,0.0083333333
0.76666667,0.275
0.71666667,0.275
0.68333333,0.083333333
0.275,0.86666667
0.51666667,1
0.70833333,0.50833333
0.59166667,0.1
0.71666667,0.80833333
0.058333333,0.35833333
0.96666667,0.79166667
0.44166667,0.5
0.76666667,0.74166667
0.54166667,0.23333333
0.016666667,0.58333333
0.25833333,0.61666667
0.4,0.69166667
0.5,0.65833333
0.86666667,0.76666667
0.68333333,0.4
0.56666667,0.46666667
0.58333333,0.76666667
0.625,0.90833333
0.26666667,0.78333333
0.40833333,0.25833333
0.54166667,0.025
0.05,0.6
0.65833333,0.11666667
0.58333333,0.875
0.975,0.75
0.81666667,0.091666667
0.083333333,0.066666667
0.79166667,0.15
0.26666667,0.99166667
0.30833333,0.53333333
0.10833333,0.28333333
0.65,0.64166667
0.175,0.34166667
0.8,0.5
0.24166667,0.95
0.16666667,0.95833333
0.025,0.65833333
0.05,0.20833333
0.18333333,0.125
0.25833333,0.53333333
0.35833333,0.81666667
0.91666667,0.65833333
0.50833333,0.425
0.50833333,0.15
0.24166667,0.23333333
0.0083333333,0.93333333
0.091666667,0.14166667
0.975,0.98333333
0.73333333,0.95
0.20833333,0.2
0.65833333,0.95833333
0.1,0.40833333
0.23333333,0.98333333
0.64166667,0.96666667
0.18333333,0.63333333
0.20833333,0.225
0.016666667,0.058333333
0.61666667,0.46666667
0.325,0.6
0.25,0.88333333
0.175,0.11666667
0.35,0.55
0.55833333,0.225
0.26666667,0.60833333
0.50833333,0.94166667
0.33333333,0.99166667
0.2,0.066666667
0.20833333,0.51666667
0.75833333,0.60833333
0.58333333,0.225
0.925,0.44166667
0.80833333,0.26666667
0.15833333,0.41666667
0.775,0.23333333
0.025,0.0083333333
0.18333333,0.24166667
0.33333333,0.40833333
0.15,0.26666667
0.86666667,0.5
0.60833333,0.29166667
0.058333333,0.8
0.64166667,0.34166667
0.50833333,0.46666667
0.34166667,0.99166667
0.51666667,0.40833333
0.65833333,0.28333333
0.90833333,0.91666667
0.058333333,0.86666667
0.10833333,0.525
0.46666667,0.34166667
0.74166667,0.61666667
0.45,0.95
0.075,0.74166667
0.94166667,0.48333333
0.34166667,0.35
0.41666667,0.875
0.46666667,0.175
0.175,0.95833333
0.825,0.36666667
0.075,0.525
0.825,0.675
0.425,0.18333333
0.73333333,0.2
0.28333333,0.10833333
0.63333333,0.8
0.85,0.78333333
0.90833333,0.575
0.88333333,0.43333333
0.058333333,0.65
0.125,0.16666667
0.34166667,0.80833333
0.75833333,0.24166667
0.29166667,0.4
0.59166667,0.76666667
0.28333333,0.91666667
0.6,0.1
0.45833333,0.48333333
0.35,0.28333333
0.48333333,0.73333333
0.24166667,0.55
0.2,0.49166667
0.65,0.125
0.84166667,0.61666667
0.65,0.4
0.058333333,0.35
0.8,0.85833333
0.51666667,0.016666667
0.041666667,0.93333333
